symbol,type,strike,expiration,source,timestamp,price_when_traded
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:47.568986,216.09
MCO,CALL,460,2025-03-28,10,22.97,229.7,Insider Buy,2025-03-23T03:24:47.828751,459.35
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:48.088645,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:48.349475,216.09
CRL,CALL,165,2025-03-28,29,8.37,242.73,Insider Buy,2025-03-23T03:24:48.609990,167.35
BHRB,CALL,60,2025-03-28,86,2.88,247.67999999999998,Insider Buy,2025-03-23T03:24:48.870652,57.54
MCO,CALL,460,2025-03-28,10,22.97,229.7,Insider Buy,2025-03-23T03:24:49.131275,459.35
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:49.393812,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:49.654599,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:49.915710,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:50.175508,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:50.437758,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:50.702770,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:50.963808,216.09
VTLE,CALL,20,2025-03-28,225,1.11,249.75000000000003,Insider Buy,2025-03-23T03:24:51.225530,22.12
VTLE,CALL,20,2025-03-28,225,1.11,249.75000000000003,Insider Buy,2025-03-23T03:24:51.485390,22.12
VTLE,CALL,20,2025-03-28,225,1.11,249.75000000000003,Insider Buy,2025-03-23T03:24:51.746972,22.12
MCO,CALL,460,2025-03-28,10,22.97,229.7,Insider Buy,2025-03-23T03:24:52.008350,459.35
VTLE,CALL,20,2025-03-28,225,1.11,249.75000000000003,Insider Buy,2025-03-23T03:24:52.268172,22.12
VTLE,CALL,20,2025-03-28,225,1.11,249.75000000000003,Insider Buy,2025-03-23T03:24:52.527884,22.12
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:52.787862,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:53.049115,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:53.309084,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:53.569197,216.09
COMP,CALL,10,2025-03-28,531,0.47,249.57,Insider Buy,2025-03-23T03:24:53.831891,9.38
FVCB,CALL,10,2025-03-28,490,0.51,249.9,Insider Buy,2025-03-23T03:24:54.092862,10.195
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:54.353708,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:54.613587,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:54.876416,216.09
FVCB,CALL,10,2025-03-28,490,0.51,249.9,Insider Buy,2025-03-23T03:24:55.137757,10.195
DUOL,CALL,310,2025-03-28,16,15.48,247.68,Insider Buy,2025-03-23T03:24:55.397784,309.5
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:55.659282,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:55.921222,216.09
CBOE,CALL,215,2025-03-28,23,10.8,248.4,Insider Buy,2025-03-23T03:24:56.182852,216.09
MCO,CALL,460,2025-03-28,10,22.97,229.7,Insider Buy,2025-03-23T03:24:56.443717,459.35
ORLY,CALL,1340,2025-03-28,3,66.88,200.64,Insider Buy,2025-03-23T03:24:56.703717,1337.62
UTHR,CALL,315,2025-03-28,15,15.63,234.45000000000002,Insider Buy,2025-03-23T03:24:56.965249,312.7
LECO,CALL,190,2025-03-28,26,9.6,249.6,Insider Buy,2025-03-23T03:24:57.226266,192.095
LECO,CALL,190,2025-03-28,26,9.6,249.6,Insider Buy,2025-03-23T03:24:57.487869,192.095
EVER,CALL,30,2025-03-28,173,1.44,249.12,Insider Buy,2025-03-23T03:24:57.747931,28.82
EVER,CALL,30,2025-03-28,173,1.44,249.12,Insider Buy,2025-03-23T03:24:58.008109,28.82
BV,CALL,15,2025-03-28,378,0.66,249.48000000000002,Insider Buy,2025-03-23T03:24:58.268327,13.1
MCO,CALL,460,2025-03-28,10,22.97,229.7,Insider Buy,2025-03-23T03:24:58.528498,459.35
SLDB,CALL,5,2025-03-28,1086,0.23,249.78,Insider Buy,2025-03-23T03:24:58.789233,4.58
WWD,CALL,185,2025-03-28,26,9.26,240.76,Insider Buy,2025-03-23T03:24:59.050986,185.29
DAR,CALL,30,2025-03-28,167,1.49,248.83,Insider Buy,2025-03-23T03:24:59.312864,29.81
VMI,CALL,285,2025-03-28,17,14.28,242.76,Insider Buy,2025-03-23T03:24:59.574504,285.51
VMI,CALL,285,2025-03-28,17,14.28,242.76,Insider Buy,2025-03-23T03:24:59.834730,285.51
VMI,CALL,285,2025-03-28,17,14.28,242.76,Insider Buy,2025-03-23T03:25:00.096815,285.51
VMI,CALL,285,2025-03-28,17,14.28,242.76,Insider Buy,2025-03-23T03:25:00.358368,285.51
ULCC,CALL,5,2025-03-28,925,0.27,249.75000000000003,Insider Buy,2025-03-23T03:25:00.620212,5.465
ULCC,CALL,5,2025-03-28,925,0.27,249.75000000000003,Insider Buy,2025-03-23T03:25:00.881289,5.465
PFX,CALL,50,2025-03-28,95,2.62,248.9,Insider Buy,2025-03-23T03:25:01.143199,52.35
PFX,CALL,50,2025-03-28,95,2.62,248.9,Insider Buy,2025-03-23T03:25:01.403680,52.35
TPH,CALL,30,2025-03-28,159,1.57,249.63000000000002,Insider Buy,2025-03-23T03:25:01.664839,31.375
TPH,CALL,30,2025-03-28,159,1.57,249.63000000000002,Insider Buy,2025-03-23T03:25:01.926642,31.375
TPH,CALL,30,2025-03-28,159,1.57,249.63000000000002,Insider Buy,2025-03-23T03:25:02.188799,31.375
TPH,CALL,30,2025-03-28,159,1.57,249.63000000000002,Insider Buy,2025-03-23T03:25:02.450345,31.375
PLBC,CALL,45,2025-03-28,115,2.16,248.4,Insider Buy,2025-03-23T03:25:02.710531,43.21
PLBC,CALL,45,2025-03-28,115,2.16,248.4,Insider Buy,2025-03-23T03:25:02.972382,43.21
CPS,CALL,15,2025-03-28,301,0.83,249.82999999999998,Insider Buy,2025-03-23T03:25:03.234179,16.655
CPS,CALL,15,2025-03-28,301,0.83,249.82999999999998,Insider Buy,2025-03-23T03:25:03.495905,16.655
HL,CALL,5,2025-03-28,862,0.29,249.98,Insider Buy,2025-03-23T03:25:03.757980,5.755
LRCX,CALL,75,2025-03-28,65,3.79,246.35,Insider Buy,2025-03-23T03:25:04.023220,75.85
LRCX,CALL,75,2025-03-28,65,3.79,246.35,Insider Buy,2025-03-23T03:25:04.284502,75.85
CPT,CALL,120,2025-03-28,41,5.96,244.35999999999999,Insider Buy,2025-03-23T03:25:04.545576,119.22
CPT,CALL,120,2025-03-28,41,5.96,244.35999999999999,Insider Buy,2025-03-23T03:25:04.807246,119.22
CPT,CALL,120,2025-03-28,41,5.96,244.35999999999999,Insider Buy,2025-03-23T03:25:05.067611,119.22
CPT,CALL,120,2025-03-28,41,5.96,244.35999999999999,Insider Buy,2025-03-23T03:25:05.330153,119.22
CPT,CALL,120,2025-03-28,41,5.96,244.35999999999999,Insider Buy,2025-03-23T03:25:05.590399,119.22
FBNC,CALL,40,2025-03-28,123,2.03,249.68999999999997,Insider Buy,2025-03-23T03:25:05.852296,40.52
EXG,CALL,10,2025-03-28,609,0.41,249.69,Insider Buy,2025-03-23T03:25:06.112715,8.25
EVT,CALL,25,2025-03-28,213,1.17,249.20999999999998,Insider Buy,2025-03-23T03:25:06.373203,23.34
ETG,CALL,20,2025-03-28,271,0.92,249.32000000000002,Insider Buy,2025-03-23T03:25:06.634987,18.44
ETO,CALL,25,2025-03-28,200,1.25,250.0,Insider Buy,2025-03-23T03:25:06.895329,25.01
FIGS,CALL,5,2025-03-28,1136,0.22,249.92,Insider Buy,2025-03-23T03:25:07.157449,4.335
HAIN,CALL,5,2025-03-28,1250,0.2,250.0,Insider Buy,2025-03-23T03:25:07.417869,3.92
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:07.681514,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:07.943682,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:08.205777,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:08.468160,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:08.730326,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:08.991354,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:09.253458,228.94
WST,CALL,230,2025-03-28,21,11.45,240.45,Insider Buy,2025-03-23T03:25:09.515868,228.94
HLMN,CALL,10,2025-03-28,555,0.45,249.75,Congress - Gilbert Cisneros,2025-03-23T03:33:43.588791,8.99
STRL,CALL,125,2025-03-28,39,6.33,246.87,Congress - Gilbert Cisneros,2025-03-23T03:33:43.850788,126.68
